Optimized Portfolio Weights according to Minimum Variance Strategy
Ticker,Weight,Company Name,Sector,Industry,Website,Country
RSG,0.05,"Republic Services, Inc.",Industrials,Waste Management,https://www.republicservices.com,United States
AD.AS,0.05,Koninklijke Ahold Delhaize N.V.,Consumer Defensive,Grocery Stores,https://www.aholddelhaize.com,Netherlands
WM,0.05,"Waste Management, Inc.",Industrials,Waste Management,https://www.wm.com,United States
MBG.DE,0.05,Mercedes-Benz Group AG,Consumer Cyclical,Auto Manufacturers,https://group.mercedes-benz.com,Germany
EOAN.DE,0.05,E.ON SE,Utilities,Utilities - Diversified,https://www.eon.com,Germany
NOVN.SW,0.05,Novartis AG,Healthcare,Drug Manufacturers - General,https://www.novartis.com,Switzerland
CL,0.05,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,https://www.colgatepalmolive.com,United States
ZURN.SW,0.05,Zurich Insurance Group AG,Financial Services,Insurance - Diversified,https://www.zurich.com,Switzerland
ENI.MI,0.05,Eni S.p.A.,Energy,Oil & Gas Integrated,https://www.eni.com,Italy
MA,0.047,Mastercard Incorporated,Financial Services,Credit Services,https://www.mastercard.com,United States
BKNG,0.045,Booking Holdings Inc.,Consumer Cyclical,Travel Services,https://www.bookingholdings.com,United States
SO,0.04,The Southern Company,Utilities,Utilities - Regulated Electric,https://www.southerncompany.com,United States
MMC,0.038,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance Brokers,https://www.mmc.com,United States
CVX,0.038,Chevron Corporation,Energy,Oil & Gas Integrated,https://www.chevron.com,United States
VZ,0.034,Verizon Communications Inc.,Communication Services,Telecom Services,https://www.verizon.com,United States
HUM,0.027,Humana Inc.,Healthcare,Healthcare Plans,https://www.humana.com,United States
RWE.DE,0.027,RWE Aktiengesellschaft,Utilities,Utilities - Diversified,https://www.group.rwe/en,Germany
T,0.027,AT&T Inc.,Communication Services,Telecom Services,https://www.att.com,United States
CMS,0.026,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,https://www.cmsenergy.com,United States
LONN.SW,0.025,Lonza Group AG,Healthcare,Diagnostics & Research,https://www.lonza.com,Switzerland
ENEL.MI,0.024,Enel SpA,Utilities,Utilities - Diversified,https://www.enel.com,Italy
TSCO,0.024,Tractor Supply Company,Consumer Cyclical,Specialty Retail,https://www.tractorsupply.com,United States
SREN.SW,0.021,Swiss Re AG,Financial Services,Insurance - Reinsurance,https://www.swissre.com,Switzerland
NDA-FI.HE,0.02,Nordea Bank Abp,Financial Services,Banks - Regional,https://www.nordea.com,Finland
HOLN.SW,0.019,Holcim AG,Basic Materials,Building Materials,https://www.holcim.com,Switzerland
EXC,0.017,Exelon Corporation,Utilities,Utilities - Regulated Electric,https://www.exeloncorp.com,United States
ELV,0.014,"Elevance Health, Inc.",Healthcare,Healthcare Plans,https://www.elevancehealth.com,United States
OTIS,0.012,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,https://www.otis.com,United States
AIR.PA,0.008,Airbus SE,Industrials,Aerospace & Defense,https://www.airbus.com,Netherlands
OMC,0.007,Omnicom Group Inc.,Communication Services,Advertising Agencies,https://www.omnicomgroup.com,United States
INGA.AS,0.005,ING Groep N.V.,Financial Services,Banks - Diversified,https://www.ing.com,Netherlands
AIZ,0.004,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,https://www.assurant.com,United States
AMT,0.002,American Tower Corporation,Real Estate,REIT - Specialty,https://www.americantower.com,United States
SIKA.SW,0.001,Sika AG,Basic Materials,Specialty Chemicals,https://www.sika.com,Switzerland
